source	papers	files	genelist	error	pcterror
rna	160	44	22	10	45.45
geo	2294	2159	884	394	44.57
genomebiology	230	113	59	22	37.29
genesdev	141	46	30	10	33.33
mbe	269	108	12	4	33.33
nature	2921	447	144	43	29.86
genomeresearch	183	127	56	16	28.57
nar	1050	384	54	14	25.93
naturegenetics	213	115	67	15	22.39
bmcbioinformatics	546	126	27	6	22.22
bmcgenomics	980	630	228	48	21.05
bioinformatics	889	216	15	3	20.0
plosone	947	448	146	27	18.49
hmg	349	133	22	3	13.64
ploscompbiol	570	126	21	1	4.76
dnaresearch	57	46	8	0	0.0
